timestamp,space_factor,x,y,z,euler_x,euler_y,euler_z
162005,0.05392,182.19740155775503,329.7217272154688,1531.6311422766885,-98.28003995505826,-17.287094704960786,123.94032428677396
162059,0.05392,182.4265439685937,330.1201656446376,1530.2527974070208,-98.2736376731394,-17.33942134999968,123.94687456564108
162159,0.05392,182.65568197928584,330.4825808535558,1527.5111310597813,-98.19594512236222,-17.380419922001295,123.93623688989172
162398,0.05392,182.03080535514923,331.7803491744929,1524.14757785313,-97.71397042837714,-18.035230777981955,124.15670982810131
162452,0.05392,181.6763036405126,332.3663601717044,1523.73559500728,-97.89659144006922,-18.45025940576369,124.20682584564464
162504,0.05392,181.27077085960963,333.2821600354864,1522.8350009609694,-97.7838109180467,-18.814471722704997,124.33385388424752
162555,0.05392,181.0343059374851,334.0001723985313,1521.513203641195,-97.61330066530608,-19.00748925894039,124.41175681166013
162604,0.05392,181.0202796555845,334.15399574222977,1520.0473854232143,-97.52421420575122,-18.90898773207895,124.22285333997864
162657,0.05392,181.1586319407,334.3123550535911,1518.3828980040937,-97.45644556997858,-18.827097086398567,124.0038077648064
162705,0.05392,181.2209005019737,334.4116556009078,1517.2052446337848,-97.23889020342224,-18.54559228119184,123.84185735711807
162754,0.05392,181.34215763566877,334.3571976507736,1516.6828038482904,-97.07760280160856,-18.39685170943326,123.68709546687133
162852,0.05392,181.34599689440608,334.29151613420987,1515.9166135733312,-96.96581728674248,-18.53109257331188,123.67812673119442
162900,0.05392,181.47598549845256,334.2627639314581,1515.5234612789334,-96.92081455260283,-18.60581115564544,123.64298227848826
162951,0.05392,181.6266383499832,334.24236830420193,1515.0894544459825,-96.93217659936576,-18.62802380856381,123.64698525140798
162997,0.05392,181.62384746491705,334.1294464581152,1514.6325710091128,-96.80549597253906,-18.576776297549625,123.6423041512962
163055,0.05392,181.55255911621063,334.28119239342755,1514.3032455796542,-96.71476204016878,-18.63091222641387,123.655406379591
163152,0.05392,181.5204717698149,334.32322164732705,1513.6406794395543,-96.7104485981505,-18.85107560757276,123.6863153780651
163200,0.05392,181.56690563559312,334.4970688425314,1512.8362508790574,-96.69755501338436,-18.9342123226232,123.63047789942414
163247,0.05392,181.53715325691968,334.7335283602706,1511.845538203579,-96.70363181402836,-19.042889524361712,123.61322511363268
163296,0.05392,181.6165570926024,334.7333463702214,1511.3036657576376,-96.55813449654632,-19.03893778517068,123.5940675338134
163343,0.05392,181.51102637203329,335.1110577606105,1510.6620108698585,-96.47387826261276,-19.20313807997055,123.66538987926448
163391,0.05392,181.41433573430527,335.35430047957834,1509.9818002965053,-96.39267662196914,-19.39475228137438,123.71282219976273
163439,0.05392,181.509958078421,335.5488828743005,1509.312469818189,-96.16308074632671,-19.489932701922434,123.68522557862872
163488,0.05392,181.4705110056092,335.5142640315019,1508.4037589847424,-96.08230831798156,-19.56282240425672,123.56786134908585
163535,0.05392,181.6009790029039,335.6342253147098,1507.709817620582,-95.78505474300472,-19.55546788599876,123.53772142134493
163581,0.05392,181.53240277218495,335.76948386311653,1506.9185096941617,-95.75152402946485,-19.53798018770085,123.54381114732296
163629,0.05392,181.56357541033563,335.8207063463743,1506.6038023205197,-95.55896365834612,-19.46262283738399,123.58632246286284
163676,0.05392,181.55415028921536,335.876050346811,1506.2593577609405,-95.63476123950296,-19.569734505427864,123.6041782458633
163731,0.05392,181.68984325927156,335.9230432503276,1505.7208740415704,-95.50247825765004,-19.626775789403997,123.6238524916514
163776,0.05392,181.68870592551997,336.1426941901128,1504.9157952275823,-95.55753923028672,-19.73603159025832,123.64949422063512
163824,0.05392,181.79613932081327,336.1400499164463,1504.3329828957594,-95.5134549527721,-19.79341227310933,123.65885514841624
